Wilayah,Tanggal,Suhu_Rata2_C,Curah_Hujan_mm,Radiasi_Matahari_MJm2,Kecepatan_Angin_Max_kmh
Padang,2020-12-01,26.8,0.0,25.02,6.7
Padang,2020-12-02,26.6,0.0,24.89,8.9
Padang,2020-12-03,26.8,0.3,24.76,8.8
Padang,2020-12-04,26.6,0.3,23.65,10.0
Padang,2020-12-05,26.7,0.0,21.96,8.1
Padang,2020-12-06,26.8,0.1,20.91,8.9
Padang,2020-12-07,26.2,5.0,17.97,8.4
Padang,2020-12-08,26.4,7.7,22.55,8.4
Padang,2020-12-09,25.9,10.4,18.42,10.2
Padang,2020-12-10,25.4,11.6,12.19,10.1
Padang,2020-12-11,25.9,16.0,15.88,10.0
Padang,2020-12-12,26.1,2.1,17.21,7.5
Padang,2020-12-13,26.0,1.0,15.25,6.2
Padang,2020-12-14,26.2,0.2,21.48,8.0
Padang,2020-12-15,25.6,1.3,17.78,7.6
Padang,2020-12-16,25.2,19.5,9.14,4.7
Padang,2020-12-17,25.7,4.7,12.81,5.6
Padang,2020-12-18,25.0,8.9,11.37,6.0
Padang,2020-12-19,25.9,0.1,18.82,8.5
Padang,2020-12-20,26.6,0.0,24.47,7.2
Padang,2020-12-21,27.1,0.5,20.79,12.2
Padang,2020-12-22,26.5,1.5,20.83,7.9
Padang,2020-12-23,26.3,9.4,20.67,8.2
Padang,2020-12-24,25.8,7.9,16.1,6.8
Padang,2020-12-25,27.3,0.0,22.02,8.3
Padang,2020-12-26,26.6,0.6,19.86,8.6
Padang,2020-12-27,26.9,0.0,21.08,7.2
Padang,2020-12-28,25.4,11.7,12.31,9.0
Padang,2020-12-29,25.7,1.6,14.44,5.8
Padang,2020-12-30,25.9,8.4,11.85,5.2
Padang,2020-12-31,26.0,4.2,9.61,9.8
Padang,2021-01-01,26.6,1.0,19.04,12.9
Padang,2021-01-02,27.2,0.6,19.63,20.7
Padang,2021-01-03,25.7,5.5,10.08,6.5
Padang,2021-01-04,26.9,0.0,21.11,8.0
Padang,2021-01-05,27.3,0.0,24.15,14.3
Padang,2021-01-06,26.4,4.1,19.0,11.7
Padang,2021-01-07,26.7,0.0,16.29,7.7
Padang,2021-01-08,26.0,15.3,15.52,8.8
Padang,2021-01-09,25.8,25.5,9.85,5.9
Padang,2021-01-10,26.6,0.1,12.24,9.0
Padang,2021-01-11,26.4,17.4,16.71,13.9
Padang,2021-01-12,25.6,43.3,7.84,8.0
Padang,2021-01-13,26.3,0.1,13.17,17.1
Padang,2021-01-14,27.6,0.0,21.33,17.9
Padang,2021-01-15,27.2,0.8,23.75,13.2
Padang,2021-01-16,26.8,0.0,21.56,6.5
Padang,2021-01-17,26.2,2.8,16.85,11.9
Padang,2021-01-18,26.9,2.7,19.95,15.6
Padang,2021-01-19,26.7,0.0,13.86,16.4
